"crime_type","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","x","total","year"
"Drug/Narcotic Violations",5,9,3,1,2,2,2,NA,1,1,2,3,NA,31,2023
"Drug Equipment Violations",NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2023
"Pornography/Obscene Material",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Assisting or Promoting Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Purchasing Prostitution",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2023
"Weapon Law Violations",NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,4,2023
"Animal Cruelty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Curfew/Loitering/Vagrancy Violations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Disorderly Conduct",NA,NA,4,1,4,1,NA,NA,2,NA,1,1,NA,14,2023
"Driving Under the Influence",5,13,8,7,11,7,11,10,3,9,7,6,NA,97,2023
"Drunkeness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Family Offenses, Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Liquor Law Violations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Trespassing of Real Property",1,NA,1,2,NA,3,1,NA,1,2,1,1,NA,13,2023
"Betting/Wagering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Operating/Promoting/Assisting Gambling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Gambling Equipment Violations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Sports Tampering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"All Other Offenses",NA,NA,3,2,4,1,1,1,NA,NA,NA,2,NA,14,2023
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"Society Crimes - Total",11,25,20,13,23,15,15,11,7,12,12,13,NA,177,2023
"Drug/Narcotic Violations",1,3,3,2,1,NA,1,2,2,9,2,2,NA,28,2024
"Drug Equipment Violations",NA,1,1,NA,1,NA,2,NA,1,2,1,NA,NA,9,2024
"Pornography/Obscene Material",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Assisting or Promoting Prostitution",NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,4,2024
"Purchasing Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Weapon Law Violations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Animal Cruelty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Curfew/Loitering/Vagrancy Violations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Disorderly Conduct",2,3,NA,NA,1,NA,NA,NA,1,3,NA,2,NA,12,2024
"Driving Under the Influence",10,9,9,11,6,14,26,15,7,8,10,13,NA,138,2024
"Drunkeness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Family Offenses, Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Liquor Law Violations",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2024
"Trespassing of Real Property",NA,2,1,1,1,NA,NA,NA,NA,2,2,3,NA,12,2024
"Betting/Wagering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Operating/Promoting/Assisting Gambling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Gambling Equipment Violations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Sports Tampering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"All Other Offenses",1,3,3,1,1,1,1,1,1,NA,NA,3,NA,16,2024
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
"Society Crimes - Total",14,24,17,15,12,15,32,18,13,24,15,23,NA,222,2024
"Drug/Narcotic Violations",1,1,1,2,2,NA,2,2,NA,NA,NA,NA,NA,11,2025
"Drug Equipment Violations",2,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,6,2025
"Pornography/Obscene Material",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025
"Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"Assisting or Promoting Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"Purchasing Prostitution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"Weapon Law Violations",NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,2025
"Animal Cruelty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
